time,x,y,z
8.113,-0.9267386096,-1.6034772192,1
8.114,-0.9265023632,-1.6030047264,1
8.115,-0.926265751,-1.602531502,1
8.116,-0.9260287732,-1.6020575463,1
8.117,-0.9257914297,-1.6015828594,1
8.118,-0.9255537208,-1.6011074416,1
8.119,-0.9253156465,-1.6006312929,1
8.12,-0.9250772068,-1.6001544137,1
8.121,-0.924838402,-1.599676804,1
8.122,-0.9245992321,-1.5991984641,1
8.123,-0.9243596971,-1.5987193942,1
8.124,-0.9241197972,-1.5982395944,1
8.125,-0.9238795325,-1.597759065,1
8.126,-0.9236389031,-1.5972778061,1
8.127,-0.923397909,-1.596795818,1
8.128,-0.9231565504,-1.5963131007,1
8.129,-0.9229148273,-1.5958296546,1
8.13,-0.9226727399,-1.5953454797,1
8.131,-0.9224302882,-1.5948605764,1
8.132,-0.9221874723,-1.5943749447,1
8.133,-0.9219442924,-1.5938885849,1
8.134,-0.9217007486,-1.5934014971,1
8.135,-0.9214568408,-1.5929136816,1
8.136,-0.9212125693,-1.5924251386,1
8.137,-0.9209679341,-1.5919358682,1
8.138,-0.9207229353,-1.5914458706,1
8.139,-0.920477573,-1.5909551461,1
8.14,-0.9202318474,-1.5904636947,1
8.141,-0.9199857584,-1.5899715168,1
8.142,-0.9197393063,-1.5894786125,1
8.143,-0.919492491,-1.588984982,1
8.144,-0.9192453127,-1.5884906255,1
8.145,-0.9189977716,-1.5879955432,1
8.146,-0.9187498676,-1.5874997353,1
8.147,-0.918501601,-1.5870032019,1
8.148,-0.9182529717,-1.5865059434,1
8.149,-0.9180039799,-1.5860079598,1
8.15,-0.9177546257,-1.5855092514,1
8.151,-0.9175049092,-1.5850098183,1
8.152,-0.9172548304,-1.5845096609,1
8.153,-0.9170043896,-1.5840087791,1
8.154,-0.9167535867,-1.5835071734,1
8.155,-0.9165024219,-1.5830048438,1
8.156,-0.9162508953,-1.5825017906,1
8.157,-0.915999007,-1.5819980139,1
8.158,-0.915746757,-1.581493514,1
8.159,-0.9154941455,-1.580988291,1
8.16,-0.9152411726,-1.5804823452,1
8.161,-0.9149878384,-1.5799756768,1
8.162,-0.9147341429,-1.5794682859,1
8.163,-0.9144800864,-1.5789601728,1
8.164,-0.9142256688,-1.5784513376,1
8.165,-0.9139708903,-1.5779417805,1
8.166,-0.9137157509,-1.5774315019,1
8.167,-0.9134602509,-1.5769205018,1
8.168,-0.9132043902,-1.5764087804,1
8.169,-0.912948169,-1.575896338,1
8.17,-0.9126915874,-1.5753831748,1
8.171,-0.9124346455,-1.574869291,1
8.172,-0.9121773433,-1.5743546867,1
8.173,-0.9119196811,-1.5738393622,1
8.174,-0.9116616588,-1.5733233176,1
